Name,Age,Position,Player Nationality,Market Value,Club,League,League Country,Transfer Type,Fee
Leonardo Buta,20,Left-Back,Portugal,4.5,Udinese Calcio,Serie A,Italy,Permanent,2.0
Zakaria Aboukhlal,22,Right Winger,Morocco,2.0,Toulouse,Ligue 1,France,Permanent,2.0
Marcin Bulka,22,Goalkeeper,Poland,2.0,OGC Nice,Ligue 1,France,Permanent,2.0
Diego Hernández,22,Left Winger,Uruguay,2.0,Botafogo,Série A,Brazil,Permanent,2.0
Boubacar Traoré,21,Defensive Midfield,Mali,1.8,Wolves,Premier League,England,Loan,0.0
Oleksandr Zubkov,26,Right Winger,Ukraine,1.8,Shakhtar D.,Premier Liga,Ukraine,Permanent,2.0
Doron Leidner,20,Left-Back,Israel,1.2,Olympiacos,Super League 1,Greece,Permanent,2.0
Nuraly Alip,23,Centre-Back,Kazakhstan,1.2,Zenit S-Pb,Premier Liga,Russia,Permanent,2.0
Daniel Samek,18,Defensive Midfield,Czech Republic,2.0,Lecce,Serie A,Italy,Permanent,2.0
Lameck Banda,21,Left Winger,Zambia,3.0,Lecce,Serie A,Italy,Permanent,2.0
Carlton Morris,26,Centre-Forward,England,1.0,Luton,Championship,England,Permanent,2.0
Veton Berisha,28,Centre-Forward,Norway,1.3,Hammarby,Allsvenskan,Sweden,Permanent,2.0
Alexsandro,22,Centre-Back,Brazil,8.0,LOSC Lille,Ligue 1,France,Permanent,2.0
Dominik Kotarski,22,Goalkeeper,Croatia,1.5,PAOK Salonika,Super League 1,Greece,Permanent,2.0
Anouar Ait El Hadj,20,Attacking Midfield,Belgium,2.0,KRC Genk,Jupiler Pro League,Belgium,Permanent,2.0
Amir Richardson,20,Central Midfield,Morocco,1.3,Stade Reims,Ligue 1,France,Permanent,2.0
Vlad Chiriches,32,Centre-Back,Romania,1.8,Cremonese,Serie A,Italy,Permanent,2.0
Giacomo Quagliata,22,Left-Back,Italy,8.0,Cremonese,Serie A,Italy,Permanent,2.0
Willyan Rocha,27,Centre-Back,Brazil,1.5,CSKA Moscow,Premier Liga,Russia,Permanent,2.0
Emre Demir,18,Attacking Midfield,Turkey,1.8,Barça Atlètic,Primera Federación - Gr. II,Spain,Permanent,2.0
Victor Boniface,21,Centre-Forward,Nigeria,7.0,Union SG,Jupiler Pro League,Belgium,Permanent,2.0
Stefano Moreo,29,Centre-Forward,Italy,1.0,Pisa,Serie B,Italy,Permanent,2.0
Riccardo Ciervo,20,Left Winger,Italy,1.5,Sassuolo,Serie A,Italy,Permanent,2.0
Ahmed Touba,24,Centre-Back,Algeria,1.0,Basaksehir,Süper Lig,Turkey,Permanent,2.0
Roggerio Nyakossi,18,Centre-Back,Switzerland,1.0,Marseille B,N3 - Corse-Méditer.,France,Permanent,2.0
Douglas Mendes,18,Centre-Back,Brazil,2.0,RB Bragantino,Série A,Brazil,Permanent,2.0
Diego Rosa,20,Central Midfield,Brazil,7.0,EC Bahia,Série A,Brazil,Permanent,2.0
Tommaso Mancini,18,Centre-Forward,Italy,5.0,Juventus U19,Primavera 1,Italy,Permanent,2.0
Kady Borges,26,Attacking Midfield,Brazil,1.2,Krasnodar,Premier Liga,Russia,Permanent,2.0
Facundo Waller,25,Left Midfield,Uruguay,1.8,San Luis,Liga MX Clausura,Mexico,Permanent,2.0
Joao Rojas,24,Left Winger,Ecuador,2.0,Monterrey,Liga MX Clausura,Mexico,Permanent,1.9
Brian Ocampo,23,Left Winger,Uruguay,2.0,Cádiz CF,LaLiga,Spain,Permanent,1.9
Cedric Itten,25,Centre-Forward,Switzerland,2.0,BSC Young Boys,Super League,Switzerland,Permanent,1.82
José Luis Rodríguez,25,Right-Back,Uruguay,2.0,Vasco da Gama,Série A,Brazil,Permanent,1.8
Rayan Raveloson,25,Defensive Midfield,Madagascar,2.0,AJ Auxerre,Ligue 1,France,Permanent,1.75
Osame Sahraoui,21,Left Winger,Norway,2.0,Heerenveen,Eredivisie,Netherlands,Permanent,1.7
Biel,21,Left Winger,Brazil,2.0,EC Bahia,Série A,Brazil,Permanent,1.6
Jessic Ngankam,21,Centre-Forward,Germany,2.0,Greuther Fürth,2. Bundesliga,Germany,Permanent,1.5
